date,open,high,low,close,volume,unadjustedVolume,vwap,change,BACKWARDSchange,changeOverTime,SMA8,SMA10,SMA20,SMA50,EMA8,EMA10,EMA20,EMA50,RSGAIN,RSLOSS,RSI,Target (t + 1)
8/21/15,0.238554322,0.239243203,0.213481537,0.207319016,0.457395911,0.66563297,0.257196855,0.316852432,0.683147568,0.207319016,0.476382871,0.480299296,0.496440889,0.52425924,0.249730988,0.253276206,0.270171211,0.307325949,0.271663562,0.529343377,0.311303148,0
8/24/15,0.149517419,0.221701313,0.135030122,0.192274646,0.590271585,0.849898089,0.229849952,0.472308844,0.527691156,0.192274646,0.470061851,0.473345959,0.492236388,0.522168087,0.236367219,0.241516581,0.262389903,0.302962859,0.271663562,0.501208312,0.323275867,1
8/25/15,0.24244552,0.234772947,0.201148718,0.195808308,0.360771153,0.531638747,0.255039805,0.591553175,0.408446825,0.195808308,0.464111167,0.469261924,0.488504934,0.520247787,0.226793474,0.232570694,0.255709556,0.298925352,0.267698223,0.501208312,0.320027969,1
8/26/15,0.219413489,0.227869036,0.210060135,0.229715112,0.334036149,0.494564025,0.251970752,0.786513732,0.213486268,0.229715112,0.460841207,0.466937162,0.485852477,0.518848281,0.227218294,0.231734206,0.253118659,0.296528479,0.433195609,0.501208312,0.434206201,1
8/27/15,0.248968485,0.246825981,0.238634909,0.248121182,0.286422323,0.428535632,0.276616039,0.6870224,0.3129776,0.248121182,0.458629868,0.466003032,0.483930709,0.517663258,0.231821461,0.234568988,0.252649073,0.295030257,0.515654543,0.501208312,0.478350523,1
8/28/15,0.248510839,0.247222435,0.247374044,0.250229835,0.163255276,0.257733934,0.280243988,0.582408687,0.417591313,0.250229835,0.456955763,0.464884648,0.482208324,0.516534418,0.235891202,0.237291524,0.252438963,0.293682973,0.404452464,0.501208312,0.417099881,0
8/31/15,0.248282016,0.254125748,0.250018957,0.247209657,0.175257516,0.274378021,0.283409916,0.549488437,0.450511563,0.247209657,0.4557823,0.46304158,0.480594016,0.515312537,0.238355456,0.238941604,0.251941276,0.292256491,0.404452464,0.360889221,0.50025759,0
9/1/15,0.237124027,0.239130357,0.223341727,0.218488805,0.255993645,0.386338714,0.265530418,0.384523056,0.615476944,0.218488805,0.45321119,0.459363885,0.478536854,0.513774285,0.233604892,0.234800334,0.248565924,0.289630363,0.35364156,0.484959351,0.392270851,1
9/2/15,0.236094022,0.241732981,0.233524038,0.244816002,0.197420709,0.305112791,0.269235752,0.737866064,0.262133936,0.244816002,0.456642876,0.458245457,0.478176677,0.512539702,0.236021556,0.236445699,0.248193316,0.288258163,0.487782223,0.482743844,0.473746414,0
9/3/15,0.250342027,0.244223356,0.238750169,0.233589695,0.163527572,0.258111541,0.273451257,0.496816,0.503184,0.233589695,0.460423988,0.457290422,0.477265846,0.511188116,0.23529513,0.235645472,0.246712856,0.286448996,0.464264213,0.531239948,0.436983072,0
